0x393939 0xe4e4e4 0xffffff 0x646464 0xffffff 0x181818 0xe3e3e3 0xbebebe 0xd6d6d6 0x323232 |0x000000 0xe8e8e8 0xffffff 0x232323 0xd0d0d0 0x3c3c3c 0xa7a7a7 0xb2b2b2 0x545454 0x000000 |0xffffff 0x000000 0x242424 0xededed 0xebebeb 0xffffff 0x090909 0x909090 0x000000 0x0b0b0b |0x060606 0x000000 0xdfdfdf 0x515151 0xffffff 0x262626 0xc6c6c6 0x131313 0xffffff 0x101010 |
0x3c3c3c 0xe6e6e6 0xffffff 0x606060 0xffffff 0x151515 0xdddddd 0xb2b2b2 0xd6d6d6 0x333333 |0x000000 0xe5e5e5 0xffffff 0x282828 0xd2d2d2 0x363636 0xadadad 0xaaaaaa 0x4a4a4a 0x000000 |0xffffff 0x000000 0x2b2b2b 0xf1f1f1 0xe8e8e8 0xffffff 0x070707 0xaaaaaa 0x000000 0x050505 |0x000000 0x000000 0xd7d7d7 0x555555 0xffffff 0x2a2a2a 0xbebebe 0x141414 0xefefef 0x0f0f0f |
0x3e3e3e 0xe8e8e8 0xffffff 0x5c5c5c 0xffffff 0x131313 0xd8d8d8 0xa2a2a2 0xd5d5d5 0x313131 |0x000000 0xe0e0e0 0xffffff 0x2d2d2d 0xd4d4d4 0x323232 0xafafaf 0x9d9d9d 0x424242 0x000000 |0xffffff 0x000000 0x343434 0xf6f6f6 0xe2e2e2 0xffffff 0x070707 0xbababa 0x000000 0x000000 |0x000000 0x000000 0xd1d1d1 0x575757 0xffffff 0x303030 0xb6b6b6 0x151515 0xe0e0e0 0x101010 |
0x414141 0xe9e9e9 0xffffff 0x585858 0xffffff 0x121212 0xd2d2d2 0x8a8a8a 0xd2d2d2 0x2c2c2c |0x000000 0xdbdbdb 0xffffff 0x2f2f2f 0xd4d4d4 0x2e2e2e 0xb0b0b0 0x7d7d7d 0x3b3b3b 0x000000 |0xffffff 0x000000 0x3e3e3e 0xfafafa 0xdbdbdb 0xffffff 0x090909 0xc7c7c7 0x000000 0x000000 |0x000000 0x000000 0xcecece 0x595959 0xffffff 0x353535 0xafafaf 0x181818 0xd3d3d3 0x131313 |
0x444444 0xeaeaea 0xffffff 0x535353 0xfefefe 0x111111 0xcdcdcd 0x656565 0xcecece 0x222222 |0x000000 0xd4d4d4 0xffffff 0x303030 0xd3d3d3 0x2b2b2b 0xaeaeae 0x606060 0x373737 0x000000 |0xffffff 0x000000 0x4b4b4b 0xfefefe 0xd1d1d1 0xffffff 0x0f0f0f 0xd2d2d2 0x000000 0x000000 |0x000000 0x000000 0xcccccc 0x5c5c5c 0xffffff 0x383838 0xacacac 0x1a1a1a 0xc9c9c9 0x191919 |
0x474747 0xeaeaea 0xffffff 0x4e4e4e 0xfbfbfb 0x101010 0xc7c7c7 0x585858 0xc8c8c8 0x171717 |0x000000 0xcccccc 0xffffff 0x303030 0xd0d0d0 0x292929 0xababab 0x505050 0x343434 0x000000 |0xffffff 0x000000 0x595959 0xffffff 0xc5c5c5 0xffffff 0x191919 0xdbdbdb 0x000000 0x000000 |0x000000 0x000000 0xcbcbcb 0x646464 0xffffff 0x363636 0xaeaeae 0x1a1a1a 0xc4c4c4 0x232323 |
0x4a4a4a 0xe9e9e9 0xffffff 0x484848 0xf8f8f8 0x0f0f0f 0xc2c2c2 0x4f4f4f 0xc1c1c1 0x0a0a0a |0x000000 0xc2c2c2 0xffffff 0x2f2f2f 0xcccccc 0x282828 0xa9a9a9 0x434343 0x323232 0x000000 |0xffffff 0x000000 0x6c6c6c 0xffffff 0xb6b6b6 0xffffff 0x282828 0xe3e3e3 0x000000 0x000000 |0x000000 0x000000 0xc9c9c9 0x787878 0xfbfbfb 0x313131 0xb3b3b3 0x191919 0xc3c3c3 0x333333 |
0x4e4e4e 0xe8e8e8 0xffffff 0x434343 0xf4f4f4 0x0f0f0f 0xbebebe 0x484848 0xb9b9b9 0x000000 |0x000000 0xb7b7b7 0xffffff 0x2d2d2d 0xc6c6c6 0x272727 0xa9a9a9 0x383838 0x2f2f2f 0x000000 |0xffffff 0x000000 0x929292 0xffffff 0xa4a4a4 0xffffff 0x3e3e3e 0xeaeaea 0x000000 0x000000 |0x000000 0x000000 0xc5c5c5 0x9a9a9a 0xfafafa 0x2a2a2a 0xbbbbbb 0x171717 0xc7c7c7 0x4c4c4c |
0x525252 0xe6e6e6 0xffffff 0x3d3d3d 0xf0f0f0 0x0e0e0e 0xbcbcbc 0x434343 0xb0b0b0 0x000000 |0x000000 0xaaaaaa 0xffffff 0x2a2a2a 0xbfbfbf 0x282828 0xacacac 0x2f2f2f 0x292929 0x000000 |0xffffff 0x000000 0x9f9f9f 0xffffff 0x878787 0xffffff 0x5e5e5e 0xf1f1f1 0x000000 0x000000 |0x000000 0x000000 0xbfbfbf 0xa7a7a7 0xf9f9f9 0x252525 0xc2c2c2 0x161616 0xcccccc 0x747474 |
0x575757 0xe4e4e4 0xffffff 0x373737 0xebebeb 0x0d0d0d 0xbcbcbc 0x404040 0xa5a5a5 0x000000 |0x000000 0x9a9a9a 0xffffff 0x262626 0xb8b8b8 0x292929 0xb1b1b1 0x282828 0x212121 0x000000 |0xffffff 0x000000 0xa4a4a4 0xffffff 0x616161 0xffffff 0xa3a3a3 0xf8f8f8 0x000000 0x000000 |0x050505 0x000000 0xb5b5b5 0xafafaf 0xf8f8f8 0x222222 0xc7c7c7 0x161616 0xd1d1d1 0xa8a8a8 |
